Roll_No,Department,Semester,Scheme
2510201001..,Civil Engineering,1st,NEP
2510201002..,Civil Engineering,1st,NEP
2510201003..,Civil Engineering,1st,NEP
2510201004..,Civil Engineering,1st,NEP
2510201005..,Civil Engineering,1st,NEP
2510201006..,Civil Engineering,1st,NEP
2510201007..,Civil Engineering,1st,NEP
2510201008..,Civil Engineering,1st,NEP
2510201009..,Civil Engineering,1st,NEP
2510201010..,Civil Engineering,1st,NEP
2510201011..,Civil Engineering,1st,NEP
2510201012..,Civil Engineering,1st,NEP
2510201013..,Civil Engineering,1st,NEP
2510201014..,Civil Engineering,1st,NEP
2510201015..,Civil Engineering,1st,NEP
2510201016..,Civil Engineering,1st,NEP
2510201017..,Civil Engineering,1st,NEP
2510201018..,Civil Engineering,1st,NEP
2510206001..,Electronics & Communication,1st,NEP
2510206002..,Electronics & Communication,1st,NEP
2510206003..,Electronics & Communication,1st,NEP
2510206004..,Electronics & Communication,1st,NEP
2510206005..,Electronics & Communication,1st,NEP
2510206006..,Electronics & Communication,1st,NEP
2510206007..,Electronics & Communication,1st,NEP
2510206008..,Electronics & Communication,1st,NEP
2510206009..,Electronics & Communication,1st,NEP
2510206010..,Electronics & Communication,1st,NEP
2510206011..,Electronics & Communication,1st,NEP
2510206012..,Electronics & Communication,1st,NEP
2510206013..,Electronics & Communication,1st,NEP
2510206014..,Electronics & Communication,1st,NEP
2510206015..,Electronics & Communication,1st,NEP
2510206016..,Electronics & Communication,1st,NEP
2510206017..,Electronics & Communication,1st,NEP
2510206018..,Electronics & Communication,1st,NEP
2510206019..,Electronics & Communication,1st,NEP
2510206020..,Electronics & Communication,1st,NEP
2510206021..,Electronics & Communication,1st,NEP
2510206022..,Electronics & Communication,1st,NEP
2510206023..,Electronics & Communication,1st,NEP
2510206024..,Electronics & Communication,1st,NEP
2510206025..,Electronics & Communication,1st,NEP
2510206026..,Electronics & Communication,1st,NEP
2510206027..,Electronics & Communication,1st,NEP
2510206028..,Electronics & Communication,1st,NEP
2510206029..,Electronics & Communication,1st,NEP
2510206030..,Electronics & Communication,1st,NEP
2510206031..,Electronics & Communication,1st,NEP
2510206032..,Electronics & Communication,1st,NEP
2510206033..,Electronics & Communication,1st,NEP
2510206034..,Electronics & Communication,1st,NEP
2510206035..,Electronics & Communication,1st,NEP
2510206036..,Electronics & Communication,1st,NEP
2510206037..,Electronics & Communication,1st,NEP
2510206038..,Electronics & Communication,1st,NEP
2510206039..,Electronics & Communication,1st,NEP
2510206040..,Electronics & Communication,1st,NEP
2510206041..,Electronics & Communication,1st,NEP
2510206042..,Electronics & Communication,1st,NEP
2510206043..,Electronics & Communication,1st,NEP
2510206044..,Electronics & Communication,1st,NEP
2510206045..,Electronics & Communication,1st,NEP
2510206046..,Electronics & Communication,1st,NEP
2510206047..,Electronics & Communication,1st,NEP
2510206048..,Electronics & Communication,1st,NEP
2510206049..,Electronics & Communication,1st,NEP
2510206050..,Electronics & Communication,1st,NEP
2510206051..,Electronics & Communication,1st,NEP
2510206052..,Electronics & Communication,1st,NEP
2510206053..,Electronics & Communication,1st,NEP
2510206054..,Electronics & Communication,1st,NEP
2510206055..,Electronics & Communication,1st,NEP
240206010074..,Electronics & Communication,3rd,NEP
240206010076..,Electronics & Communication,3rd,NEP
240206010077..,Electronics & Communication,3rd,NEP
240206010078..,Electronics & Communication,3rd,NEP
240206010079..,Electronics & Communication,3rd,NEP
240206010080..,Electronics & Communication,3rd,NEP
240206010081..,Electronics & Communication,3rd,NEP
240206010082..,Electronics & Communication,3rd,NEP
240206010083..,Electronics & Communication,3rd,NEP
240206010084..,Electronics & Communication,3rd,NEP
240206010085..,Electronics & Communication,3rd,NEP
240206010086..,Electronics & Communication,3rd,NEP
240206010087..,Electronics & Communication,3rd,NEP
240206010088..,Electronics & Communication,3rd,NEP
240206010089..,Electronics & Communication,3rd,NEP
240206010090..,Electronics & Communication,3rd,NEP
240206010091..,Electronics & Communication,3rd,NEP
240206010092..,Electronics & Communication,3rd,NEP
240206010093..,Electronics & Communication,3rd,NEP
240206010094..,Electronics & Communication,3rd,NEP
240206010095..,Electronics & Communication,3rd,NEP
240206010096..,Electronics & Communication,3rd,NEP
240206010097..,Electronics & Communication,3rd,NEP
240206010098..,Electronics & Communication,3rd,NEP
240206010099..,Electronics & Communication,3rd,NEP
240206010100..,Electronics & Communication,3rd,NEP
240206010101..,Electronics & Communication,3rd,NEP
240206010103..,Electronics & Communication,3rd,NEP
240206010104..,Electronics & Communication,3rd,NEP
240206010105..,Electronics & Communication,3rd,NEP
240206010106..,Electronics & Communication,3rd,NEP
240206010107..,Electronics & Communication,3rd,NEP
240206010108..,Electronics & Communication,3rd,NEP
240206010109..,Electronics & Communication,3rd,NEP
240206010110..,Electronics & Communication,3rd,NEP
240206010111..,Electronics & Communication,3rd,NEP
240206010112..,Electronics & Communication,3rd,NEP
240206010113..,Electronics & Communication,3rd,NEP
240206010115..,Electronics & Communication,3rd,NEP
240206010116..,Electronics & Communication,3rd,NEP
240206010117..,Electronics & Communication,3rd,NEP
240206010118..,Electronics & Communication,3rd,NEP
240206010119..,Electronics & Communication,3rd,NEP
240206010121..,Electronics & Communication,3rd,NEP
240206010123..,Electronics & Communication,3rd,NEP
240206010124..,Electronics & Communication,3rd,NEP
240206010125..,Electronics & Communication,3rd,NEP
240206010126..,Electronics & Communication,3rd,NEP
23010204018..,Electronics & Communication,3rd,NEP
23010204001..,Electronics & Communication,5th,NEP
23010204002..,Electronics & Communication,5th,NEP
23010204003..,Electronics & Communication,5th,NEP
23010204004..,Electronics & Communication,5th,NEP
23010204005..,Electronics & Communication,5th,NEP
23010204006..,Electronics & Communication,5th,NEP
23010204007..,Electronics & Communication,5th,NEP
23010204008..,Electronics & Communication,5th,NEP
23010204009..,Electronics & Communication,5th,NEP
23010204010..,Electronics & Communication,5th,NEP
23010204011..,Electronics & Communication,5th,NEP
23010204012..,Electronics & Communication,5th,NEP
23010204013..,Electronics & Communication,5th,NEP
23010204014..,Electronics & Communication,5th,NEP
23010204015..,Electronics & Communication,5th,NEP
23010204016..,Electronics & Communication,5th,NEP
23010204017..,Electronics & Communication,5th,NEP
23010204019..,Electronics & Communication,5th,NEP
23010204020..,Electronics & Communication,5th,NEP
23010204021..,Electronics & Communication,5th,NEP
23010204022..,Electronics & Communication,5th,NEP
23010204023..,Electronics & Communication,5th,NEP
23010204024..,Electronics & Communication,5th,NEP
23010204027..,Electronics & Communication,5th,NEP
23010204028..,Electronics & Communication,5th,NEP
23010204029..,Electronics & Communication,5th,NEP
23010204030..,Electronics & Communication,5th,NEP
23010204031..,Electronics & Communication,5th,NEP
23010204032..,Electronics & Communication,5th,NEP
23010204033..,Electronics & Communication,5th,NEP
23010204034..,Electronics & Communication,5th,NEP
23010204035..,Electronics & Communication,5th,NEP
23010204036..,Electronics & Communication,5th,NEP
23010204037..,Electronics & Communication,5th,NEP
23010204038..,Electronics & Communication,5th,NEP
23010204039..,Electronics & Communication,5th,NEP
23010204040..,Electronics & Communication,5th,NEP
23010204041..,Electronics & Communication,5th,NEP
23010204042..,Electronics & Communication,5th,NEP
240206020006..,Electronics & Communication,5th,NEP
240206020007..,Electronics & Communication,5th,NEP
240206020008..,Electronics & Communication,5th,NEP
240206020009..,Electronics & Communication,5th,NEP
240206020010..,Electronics & Communication,5th,NEP
240206020011..,Electronics & Communication,5th,NEP
240206020012..,Electronics & Communication,5th,NEP
240206020013..,Electronics & Communication,5th,NEP
240206020014..,Electronics & Communication,5th,NEP
22010204001..,Electronics & Communication,5th,NEP
22010204002..,Electronics & Communication,7th,CBCS
22010204002..,Electronics & Communication,7th,CBCS
22010204003..,Electronics & Communication,7th,CBCS
22010204004..,Electronics & Communication,7th,CBCS
22010204005..,Electronics & Communication,7th,CBCS
22010204006..,Electronics & Communication,7th,CBCS
22010204007..,Electronics & Communication,7th,CBCS
22010204008..,Electronics & Communication,7th,CBCS
22010204010..,Electronics & Communication,7th,CBCS
22010204011..,Electronics & Communication,7th,CBCS
22010204012..,Electronics & Communication,7th,CBCS
22010204013..,Electronics & Communication,7th,CBCS
22010204014..,Electronics & Communication,7th,CBCS
22010204015..,Electronics & Communication,7th,CBCS
22010204016..,Electronics & Communication,7th,CBCS
22010204017..,Electronics & Communication,7th,CBCS
22010204018..,Electronics & Communication,7th,CBCS
22010204019..,Electronics & Communication,7th,CBCS
22010204020..,Electronics & Communication,7th,CBCS
22010204021..,Electronics & Communication,7th,CBCS
22010204022..,Electronics & Communication,7th,CBCS
22010204023..,Electronics & Communication,7th,CBCS
22010204024..,Electronics & Communication,7th,CBCS
22010204025..,Electronics & Communication,7th,CBCS
22010204026..,Electronics & Communication,7th,CBCS
22010204027..,Electronics & Communication,7th,CBCS
22010204028..,Electronics & Communication,7th,CBCS
22010204029..,Electronics & Communication,7th,CBCS
22010204030..,Electronics & Communication,7th,CBCS
22010204031..,Electronics & Communication,7th,CBCS
23020204001..,Electronics & Communication,7th,CBCS
23020204002..,Electronics & Communication,7th,CBCS
23020204003..,Electronics & Communication,7th,CBCS
23020204005..,Electronics & Communication,7th,CBCS
23020204006..,Electronics & Communication,7th,CBCS
23020204007..,Electronics & Communication,7th,CBCS
23020204009..,Electronics & Communication,7th,CBCS
2510203001..,Computer Science & Engineering,1st,NEP
2510203002..,Computer Science & Engineering,1st,NEP
2510203003..,Computer Science & Engineering,1st,NEP
2510203004..,Computer Science & Engineering,1st,NEP
2510203005..,Computer Science & Engineering,1st,NEP
2510203006..,Computer Science & Engineering,1st,NEP
2510203007..,Computer Science & Engineering,1st,NEP
2510203008..,Computer Science & Engineering,1st,NEP
2510203009..,Computer Science & Engineering,1st,NEP
2510203010..,Computer Science & Engineering,1st,NEP
2510203011..,Computer Science & Engineering,1st,NEP
2510203012..,Computer Science & Engineering,1st,NEP
2510203013..,Computer Science & Engineering,1st,NEP
2510203014..,Computer Science & Engineering,1st,NEP
2510203015..,Computer Science & Engineering,1st,NEP
2510203016..,Computer Science & Engineering,1st,NEP
2510203017..,Computer Science & Engineering,1st,NEP
2510203018..,Computer Science & Engineering,1st,NEP
2510203019..,Computer Science & Engineering,1st,NEP
2510203020..,Computer Science & Engineering,1st,NEP
2510203021..,Computer Science & Engineering,1st,NEP
2510203022..,Computer Science & Engineering,1st,NEP
2510203023..,Computer Science & Engineering,1st,NEP
2510203024..,Computer Science & Engineering,1st,NEP
2510203025..,Computer Science & Engineering,1st,NEP
2510203026..,Computer Science & Engineering,1st,NEP
2510203027..,Computer Science & Engineering,1st,NEP
2510203028..,Computer Science & Engineering,1st,NEP
2510203029..,Computer Science & Engineering,1st,NEP
2510203030..,Computer Science & Engineering,1st,NEP
2510203031..,Computer Science & Engineering,1st,NEP
2510203032..,Computer Science & Engineering,1st,NEP
2510203033..,Computer Science & Engineering,1st,NEP
2510203034..,Computer Science & Engineering,1st,NEP
2510203035..,Computer Science & Engineering,1st,NEP
2510203036..,Computer Science & Engineering,1st,NEP
2510203037..,Computer Science & Engineering,1st,NEP
2510203038..,Computer Science & Engineering,1st,NEP
2510203039..,Computer Science & Engineering,1st,NEP
2510203040..,Computer Science & Engineering,1st,NEP
2510203041..,Computer Science & Engineering,1st,NEP
2510203042..,Computer Science & Engineering,1st,NEP
2510203043..,Computer Science & Engineering,1st,NEP
2510203044..,Computer Science & Engineering,1st,NEP
2510203045..,Computer Science & Engineering,1st,NEP
2510203046..,Computer Science & Engineering,1st,NEP
2510203047..,Computer Science & Engineering,1st,NEP
2510203048..,Computer Science & Engineering,1st,NEP
2510203049..,Computer Science & Engineering,1st,NEP
2510203050..,Computer Science & Engineering,1st,NEP
2510203051..,Computer Science & Engineering,1st,NEP
2510203052..,Computer Science & Engineering,1st,NEP
2510203053..,Computer Science & Engineering,1st,NEP
2510203054..,Computer Science & Engineering,1st,NEP
2510203055..,Computer Science & Engineering,1st,NEP
2510203056..,Computer Science & Engineering,1st,NEP
2510203057..,Computer Science & Engineering,1st,NEP
2510203058..,Computer Science & Engineering,1st,NEP
2510203059..,Computer Science & Engineering,1st,NEP
2510203060..,Computer Science & Engineering,1st,NEP
2510203061..,Computer Science & Engineering,1st,NEP
2510203062..,Computer Science & Engineering,1st,NEP
240206030001..,Computer Science & Engineering,3rd,NEP
240206030002..,Computer Science & Engineering,3rd,NEP
240206030003..,Computer Science & Engineering,3rd,NEP
240206030004..,Computer Science & Engineering,3rd,NEP
240206030005..,Computer Science & Engineering,3rd,NEP
240206030006..,Computer Science & Engineering,3rd,NEP
240206030007..,Computer Science & Engineering,3rd,NEP
240206030008..,Computer Science & Engineering,3rd,NEP
240206030009..,Computer Science & Engineering,3rd,NEP
240206030010..,Computer Science & Engineering,3rd,NEP
240206030011..,Computer Science & Engineering,3rd,NEP
240206030012..,Computer Science & Engineering,3rd,NEP
240206030013..,Computer Science & Engineering,3rd,NEP
240206030014..,Computer Science & Engineering,3rd,NEP
240206030015..,Computer Science & Engineering,3rd,NEP
240206030016..,Computer Science & Engineering,3rd,NEP
240206030017..,Computer Science & Engineering,3rd,NEP
240206030018..,Computer Science & Engineering,3rd,NEP
240206030019..,Computer Science & Engineering,3rd,NEP
240206030020..,Computer Science & Engineering,3rd,NEP
240206030021..,Computer Science & Engineering,3rd,NEP
240206030022..,Computer Science & Engineering,3rd,NEP
240206030023..,Computer Science & Engineering,3rd,NEP
240206030024..,Computer Science & Engineering,3rd,NEP
240206030025..,Computer Science & Engineering,3rd,NEP
240206030026..,Computer Science & Engineering,3rd,NEP
240206030027..,Computer Science & Engineering,3rd,NEP
240206030028..,Computer Science & Engineering,3rd,NEP
240206030029..,Computer Science & Engineering,3rd,NEP
240206030030..,Computer Science & Engineering,3rd,NEP
240206030031..,Computer Science & Engineering,3rd,NEP
240206030032..,Computer Science & Engineering,3rd,NEP
